Date: 2020-06-07 17:45:07s, Time_Cost: 127s, Epoch: [1/100], Train_PSNR: 18.46, Val_PSNR: 18.49, Val_SSIM: 0.6702
Date: 2020-06-07 17:47:14s, Time_Cost: 127s, Epoch: [2/100], Train_PSNR: 21.18, Val_PSNR: 20.31, Val_SSIM: 0.7149
Date: 2020-06-07 17:49:24s, Time_Cost: 129s, Epoch: [3/100], Train_PSNR: 22.81, Val_PSNR: 21.10, Val_SSIM: 0.7284
Date: 2020-06-07 17:51:33s, Time_Cost: 129s, Epoch: [4/100], Train_PSNR: 23.80, Val_PSNR: 21.51, Val_SSIM: 0.7410
Date: 2020-06-07 17:53:44s, Time_Cost: 130s, Epoch: [5/100], Train_PSNR: 24.19, Val_PSNR: 20.44, Val_SSIM: 0.7264
Date: 2020-06-07 17:58:03s, Time_Cost: 129s, Epoch: [1/100], Train_PSNR: 19.52, Val_PSNR: 20.14, Val_SSIM: 0.6848
Date: 2020-06-07 18:01:40s, Time_Cost: 130s, Epoch: [1/100], Train_PSNR: 19.03, Val_PSNR: 20.10, Val_SSIM: 0.6876
Date: 2020-06-07 18:04:16s, Time_Cost: 131s, Epoch: [1/100], Train_PSNR: 22.31, Val_PSNR: 20.84, Val_SSIM: 0.7237
Date: 2020-06-07 18:09:02s, Time_Cost: 129s, Epoch: [1/100], Train_PSNR: 23.73, Val_PSNR: 21.06, Val_SSIM: 0.7379
Date: 2020-06-07 18:11:11s, Time_Cost: 129s, Epoch: [2/100], Train_PSNR: 24.39, Val_PSNR: 16.83, Val_SSIM: 0.6752
Date: 2020-06-07 18:14:13s, Time_Cost: 130s, Epoch: [1/100], Train_PSNR: 23.71, Val_PSNR: 21.02, Val_SSIM: 0.7296
Date: 2020-06-07 18:16:22s, Time_Cost: 129s, Epoch: [2/100], Train_PSNR: 24.35, Val_PSNR: 20.84, Val_SSIM: 0.7421
Date: 2020-06-07 18:18:31s, Time_Cost: 129s, Epoch: [3/100], Train_PSNR: 24.79, Val_PSNR: 21.12, Val_SSIM: 0.7403
Date: 2020-06-07 18:20:40s, Time_Cost: 129s, Epoch: [4/100], Train_PSNR: 24.97, Val_PSNR: 21.39, Val_SSIM: 0.7513
Date: 2020-06-07 18:22:49s, Time_Cost: 129s, Epoch: [5/100], Train_PSNR: 25.18, Val_PSNR: 19.91, Val_SSIM: 0.7465
Date: 2020-06-07 18:24:58s, Time_Cost: 129s, Epoch: [6/100], Train_PSNR: 25.44, Val_PSNR: 21.77, Val_SSIM: 0.7557
Date: 2020-06-07 18:27:07s, Time_Cost: 129s, Epoch: [7/100], Train_PSNR: 25.48, Val_PSNR: 21.07, Val_SSIM: 0.7456
Date: 2020-06-07 18:29:17s, Time_Cost: 130s, Epoch: [8/100], Train_PSNR: 25.71, Val_PSNR: 21.91, Val_SSIM: 0.7688
Date: 2020-06-07 18:31:27s, Time_Cost: 130s, Epoch: [9/100], Train_PSNR: 25.83, Val_PSNR: 22.14, Val_SSIM: 0.7664
Date: 2020-06-07 18:33:36s, Time_Cost: 129s, Epoch: [10/100], Train_PSNR: 25.98, Val_PSNR: 21.11, Val_SSIM: 0.7572
Date: 2020-06-07 18:35:45s, Time_Cost: 130s, Epoch: [11/100], Train_PSNR: 26.10, Val_PSNR: 19.68, Val_SSIM: 0.7299
Date: 2020-06-07 18:37:55s, Time_Cost: 130s, Epoch: [12/100], Train_PSNR: 26.13, Val_PSNR: 22.06, Val_SSIM: 0.7717
Date: 2020-06-07 18:40:04s, Time_Cost: 129s, Epoch: [13/100], Train_PSNR: 26.31, Val_PSNR: 22.22, Val_SSIM: 0.7657
Date: 2020-06-07 18:42:14s, Time_Cost: 130s, Epoch: [14/100], Train_PSNR: 26.29, Val_PSNR: 22.09, Val_SSIM: 0.7640
Date: 2020-06-07 18:44:24s, Time_Cost: 129s, Epoch: [15/100], Train_PSNR: 26.47, Val_PSNR: 21.77, Val_SSIM: 0.7696
Date: 2020-06-07 18:46:32s, Time_Cost: 129s, Epoch: [16/100], Train_PSNR: 26.42, Val_PSNR: 22.58, Val_SSIM: 0.7793
Date: 2020-06-07 18:48:42s, Time_Cost: 130s, Epoch: [17/100], Train_PSNR: 26.69, Val_PSNR: 22.10, Val_SSIM: 0.7671
Date: 2020-06-07 18:50:51s, Time_Cost: 129s, Epoch: [18/100], Train_PSNR: 26.70, Val_PSNR: 22.13, Val_SSIM: 0.7691
Date: 2020-06-07 18:53:00s, Time_Cost: 129s, Epoch: [19/100], Train_PSNR: 26.58, Val_PSNR: 21.84, Val_SSIM: 0.7662
Date: 2020-06-07 18:55:10s, Time_Cost: 129s, Epoch: [20/100], Train_PSNR: 26.79, Val_PSNR: 19.96, Val_SSIM: 0.7363
Date: 2020-06-07 18:57:19s, Time_Cost: 130s, Epoch: [21/100], Train_PSNR: 26.76, Val_PSNR: 21.92, Val_SSIM: 0.7678
Date: 2020-06-07 18:59:28s, Time_Cost: 129s, Epoch: [22/100], Train_PSNR: 26.85, Val_PSNR: 21.83, Val_SSIM: 0.7660
Date: 2020-06-07 19:01:38s, Time_Cost: 130s, Epoch: [23/100], Train_PSNR: 26.92, Val_PSNR: 21.77, Val_SSIM: 0.7702
Date: 2020-06-07 19:03:48s, Time_Cost: 130s, Epoch: [24/100], Train_PSNR: 26.97, Val_PSNR: 21.41, Val_SSIM: 0.7644
Date: 2020-06-07 19:05:58s, Time_Cost: 130s, Epoch: [25/100], Train_PSNR: 26.95, Val_PSNR: 22.01, Val_SSIM: 0.7797
Date: 2020-06-07 19:08:07s, Time_Cost: 130s, Epoch: [26/100], Train_PSNR: 27.07, Val_PSNR: 22.12, Val_SSIM: 0.7739
Date: 2020-06-07 19:10:17s, Time_Cost: 130s, Epoch: [27/100], Train_PSNR: 27.14, Val_PSNR: 22.58, Val_SSIM: 0.7820
Date: 2020-06-07 19:12:27s, Time_Cost: 130s, Epoch: [28/100], Train_PSNR: 27.19, Val_PSNR: 22.39, Val_SSIM: 0.7765
Date: 2020-06-07 19:14:37s, Time_Cost: 129s, Epoch: [29/100], Train_PSNR: 27.17, Val_PSNR: 22.31, Val_SSIM: 0.7717
Date: 2020-06-07 19:16:47s, Time_Cost: 130s, Epoch: [30/100], Train_PSNR: 27.22, Val_PSNR: 21.27, Val_SSIM: 0.7694
Date: 2020-06-07 19:18:57s, Time_Cost: 130s, Epoch: [31/100], Train_PSNR: 27.38, Val_PSNR: 22.50, Val_SSIM: 0.7798
Date: 2020-06-07 19:21:07s, Time_Cost: 130s, Epoch: [32/100], Train_PSNR: 27.28, Val_PSNR: 22.49, Val_SSIM: 0.7730
Date: 2020-06-07 19:23:17s, Time_Cost: 130s, Epoch: [33/100], Train_PSNR: 27.57, Val_PSNR: 21.53, Val_SSIM: 0.7734
Date: 2020-06-07 19:25:27s, Time_Cost: 130s, Epoch: [34/100], Train_PSNR: 27.39, Val_PSNR: 22.47, Val_SSIM: 0.7803
Date: 2020-06-07 19:27:36s, Time_Cost: 129s, Epoch: [35/100], Train_PSNR: 27.56, Val_PSNR: 22.26, Val_SSIM: 0.7745
Date: 2020-06-07 19:29:46s, Time_Cost: 130s, Epoch: [36/100], Train_PSNR: 27.57, Val_PSNR: 22.75, Val_SSIM: 0.7849
Date: 2020-06-07 19:31:56s, Time_Cost: 130s, Epoch: [37/100], Train_PSNR: 27.48, Val_PSNR: 21.80, Val_SSIM: 0.7837
Date: 2020-06-07 19:34:04s, Time_Cost: 129s, Epoch: [38/100], Train_PSNR: 27.62, Val_PSNR: 21.72, Val_SSIM: 0.7656
Date: 2020-06-07 19:36:14s, Time_Cost: 130s, Epoch: [39/100], Train_PSNR: 27.67, Val_PSNR: 22.06, Val_SSIM: 0.7812
